,episode,speaker,speech,word_count
269,ep_1,JON, I wasn't a king.,4
270,ep_1,SAMWELL, But you were. You've always been.,6
271,ep_1,JON," I gave up my crown, Sam.",6
272,ep_1,JON, I bent the knee. I'm not King in the North anymore.,11
273,ep_1,SAMWELL, I'm not talking about the King in the North. I'm talking about the King of the bloody Seven Kingdoms.,19
274,ep_1,SAMWELL, Bran and I worked it out. I had a High Septon's diary. Bran had whatever Bran has.,17
275,ep_1,JON, What are you talking about?,5
276,ep_1,SAMWELL, Your mother was Lyanna Stark.,5
277,ep_1,SAMWELL," And your father- your real father was Rhaegar Targaryen. You've never been a bastard. You're Aegon Targaryen, true heir to the Iron Throne. I'm sorry, I know it's a lot to take in.",33
278,ep_1,JON, My father was the most honorable man I ever met. You're saying he lied to me all my life.,19
279,ep_1,SAMWELL," No. Your father- Well, Ned Stark. He promised your mother he'd always protect you. And he did. Robert would have murdered you if he knew. You're the true king. Aegon Targaryen, Sixth of His Name, Protector of the Realm, all of it.",42
280,ep_1,JON, Daenerys is our queen.,4
281,ep_1,SAMWELL, She shouldn't be.,3
282,ep_1,JON, That's treason.,2
283,ep_1,SAMWELL, It's the truth. You gave up your crown to save your people. Would she do the same?,17
284,ep_1,EDD," Stay back, he's got blue eyes!",6
285,ep_1,TORMUND, I've always had blue eyes!,5
286,ep_1,BERIC, Did you find anyone?,4
287,ep_1,EDD, The Umber boy.,3
288,ep_1,BERIC, It's a message. From the Night King.,7
289,ep_1,TORMUND, His army's between us and Winterfell. We're on foot.,9
290,ep_1,EDD, We rode down from Castle Black. We can double up on the horses.,13
291,ep_1,TORMUND," If the horses last, we'll get there before the dead.",10
292,ep_1,TORMUND, We just have to hope the Night King doesn't come first-,11
293,ep_2,DAENERYS, Who stabbed him in the back and cut his throat. Who sat down on the Iron Throne and watched as his blood poured onto the floor.,26
294,ep_2,DAENERYS, He told me other stories as well. About all the things we would do to that man once we took back the Seven Kingdoms and had him in our grasp.,30
295,ep_2,DAENERYS, Your sister pledged to send her army north.,8
296,ep_2,JAIME, She did.,2
297,ep_2,DAENERYS," I don't see an army. I see one man, with one hand. It appears your sister lied to me.",19
298,ep_2,JAIME, She lied to me as well. She never had any intention of sending her army north.,16
299,ep_2,JAIME," She has Euron Greyjoy's fleet and 20,000 fresh troops. The Golden Company from Essos, bought and paid for. Even if we defeat the dead, she'll have more than enough to destroy the survivors.",33
300,ep_2,DAENERYS," ""We""?",1
301,ep_2,JAIME, I promised to fight for the living. I intend to keep that promise.,13
302,ep_2,TYRION," Your Grace, I know my brother-",6
303,ep_2,DAENERYS, Like you knew your sister?,5
304,ep_2,TYRION," He came here alone, knowing full well how he'd be received. Why would he do that if he weren't telling the truth?",22
305,ep_2,DAENERYS," Perhaps he trusts his little brother to defend him, right up to the moment he slits my throat.",18
306,ep_2,SANSA," You're right. We can't trust him. He attacked my father in the streets. He tried to destroy my house and my family, the same as he did yours.",28
307,ep_2,JAIME," Do you want me to apologize? I won't. We were at war. Everything I did, I did for my house and my family. I'd do it all again.",28
308,ep_2,BRAN, The things we do for love.,6
309,ep_2,DAENERYS, So why have you abandoned your house and family now?,10
310,ep_2,JAIME, Because this goes beyond loyalty.,5
311,ep_2,JAIME, This is about survival.,4
312,ep_2,BRIENNE," You don't know me well, Your Grace.",7
313,ep_2,BRIENNE," But I know Ser Jaime. He is a man of honor. I was his captor once. But when we were both taken prisoner and the men holding us tried to force themselves on me, Ser Jaime defended me. And lost his hand because of it.",45
314,ep_2,BRIENNE," Without him, my lady, you would not be alive. He armed me, armored me, and sent me to find you and bring you home because he'd sworn an oath to your mother.",32
315,ep_2,SANSA, You vouch for him?,4
316,ep_2,BRIENNE, I do.,2
317,ep_2,SANSA, You would fight beside him?,5
318,ep_2,BRIENNE, I would.,2
319,ep_2,SANSA," I trust you with my life. If you trust him with yours, we should let him stay.",17
320,ep_2,DAENERYS, What does the Warden of the North say about it?,10
321,ep_2,JON, We need every man we can get.,7
322,ep_2,DAENERYS, Very well.,2
323,ep_2,JAIME," Thank you, Your Grace.",4
324,ep_2,DAENERYS," Either you knew Cersei was lying and let me believe otherwise, or you didn't know at all. Which makes you either a traitor or a fool.",26
325,ep_2,TYRION, I was a fool.,4
326,ep_2,DAENERYS, Not for the first time.,5
327,ep_2,DAENERYS," Cersei still sits on the throne. If you can't help me take it back, I'll find another Hand who can.",20
328,ep_2,TYRION, I suspect one of you will be wearing this before it's all over.,13
329,ep_2,GENDRY, Don't you have something better to do?,7
330,ep_2,ARYA, You make my weapon yet?,5
331,ep_2,GENDRY, Just as soon as I'm done making a few thousand of these.,12
332,ep_2,ARYA, You should make mine first. And make sure it's stronger than this.,12
333,ep_2,GENDRY, It's strong enough.,3
334,ep_2,GENDRY," It's going to be safer down in the crypt, you know.",11
335,ep_2,ARYA, Are you going to be down in the crypt?,9
336,ep_2,GENDRY," No, but-",2
337,ep_2,ARYA, But you're a fighter.,4
338,ep_2,GENDRY, I've done my share.,4
339,ep_2,ARYA, You've fought them?,3
340,ep_2,GENDRY, I did. Some of them.,5
341,ep_2,ARYA, How many?,2
342,ep_2,GENDRY, A few. That was enough.,5
343,ep_2,ARYA, What are they like?,4
344,ep_2,GENDRY, Bad. Really bad.,3
345,ep_2,ARYA," ""Really bad""?",2
346,ep_2,ARYA," Even a smith's apprentice can do better than ""really bad."" What do they look like? What do they smell like? How do they move? How hard are they to kill?",30
